epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,260.614,0.89879,2.49959,3.65935,1.30156,0.19527,0.13839,0.08908,0.06422,0.19603,0.14052,0.08805,0.05912,0.92708,2.31091,3.45787,1.40605,0.000236263,0.000236263,0.000236263
2,525.913,0.94608,2.208,3.16844,1.34683,0.16396,0.24633,0.1423,0.10149,0.159,0.245,0.13661,0.09339,0.98424,2.32758,3.25871,1.50714,0.000468394,0.000468394,0.000468394
3,797.638,0.95387,2.09305,2.88526,1.33519,0.10744,0.3302,0.14464,0.10286,0.10679,0.3269,0.14013,0.09457,1.02278,2.41334,3.34666,1.51624,0.000694634,0.000694634,0.000694634
4,1062.06,1.01558,2.18723,2.86173,1.41373,0.2152,0.31963,0.19843,0.12831,0.20284,0.30457,0.18538,0.11687,1.10079,2.55363,3.08247,1.60691,0.000687493,0.000687493,0.000687493
5,1328.46,0.99886,2.14312,2.70202,1.36681,0.32318,0.33474,0.24961,0.18208,0.31825,0.32739,0.2451,0.17198,1.05855,2.52729,2.94607,1.55535,0.000678657,0.000678657,0.000678657
6,1593.38,0.99029,2.06656,2.63115,1.35062,0.29021,0.37561,0.3079,0.2094,0.28288,0.38661,0.30965,0.20469,1.06083,2.25614,2.89101,1.51043,0.000669821,0.000669821,0.000669821
7,1856.14,0.9373,2.0221,2.55555,1.32495,0.3345,0.345,0.30828,0.21158,0.29549,0.33248,0.29167,0.19718,1.01005,2.2177,2.7315,1.47844,0.000660986,0.000660986,0.000660986
8,2121.04,0.92344,2.07747,2.44364,1.32269,0.33971,0.41653,0.35991,0.26317,0.38473,0.34995,0.35674,0.25585,0.99044,2.11362,2.67077,1.48896,0.00065215,0.00065215,0.00065215
9,2385.78,0.90891,1.96887,2.40655,1.29606,0.32708,0.43484,0.32383,0.2308,0.32543,0.41766,0.30728,0.2068,0.97041,2.17376,2.89423,1.46582,0.000643314,0.000643314,0.000643314
10,2647.55,0.88496,1.9182,2.3628,1.28329,0.55621,0.37128,0.40866,0.30094,0.55622,0.37289,0.4063,0.28611,1.01311,2.21584,2.55287,1.5063,0.000634478,0.000634478,0.000634478
